Data_Hora,IdTweet,Tweet,Candidato,Tweet_limpo,Sentimento_Final
2022-08-03 11:23:07+00:00,1554789959864918017,"@LulaOficial E não anda mesmo, só anda perto dos mortadelas pagos né ladrão cachaceiro ?",Lula," e não anda mesmo, só anda perto dos mortadelas pagos né ladrão cachaceiro ?",Neutro
2022-08-03 11:23:05+00:00,1554789948733247489,"No mesmo espaço do espaço do povo em Campina Grande que a multidão começou a cantar lula lá com a @juliette lota novamente com a presença de @LulaOficial para o ouvi e vê-lo.
Flamengo
Arrascaeta
O Corinthians
#BDSP
Molon
Gabigol
#VCnoJM
Ceciliano
O PT
Barroso
Provou
ALERJ
Rodinei https://t.co/pA5ZPGwtmK",Lula,no mesmo espaço do espaço do povo em campina grande que a multidão começou a cantar lula lá com a  lota novamente com a presença de  para o ouvi e vê-lo.flamengoarrascaetao corinthians#bdspmolongabigol#vcnojmcecilianoo ptbarrosoprovoualerjrodinei ,Negativo
2022-08-03 11:23:04+00:00,1554789947038736385,@AGazetaES @AmarildoCharges Bolsonaro ser preso e Lula presidente? esse é nível de torcida do jornaleco do nosso estado....#vergonhoso,Lula,  bolsonaro ser preso e lula presidente? esse é nível de torcida do jornaleco do nosso estado....,Neutro
2022-08-03 11:23:03+00:00,1554789942441742338,@LulaOficial @ricardostuckert Acabou a força já deu,Lula,  acabou a força já deu,Neutro
2022-08-03 11:23:02+00:00,1554789939023413250,"@PesqBR2022 Kkkkkkkkkkk tenho dó desse povo que ficou se iludindo desde março do ano passado quando Lula foi descondenado. As pesquisas até agora não foram nada além de uma ilusão, a realidade vai começar a se impor nas próximas semanas. Lula não tem nem de longe a força que tinha em 2006.",Lula," kkkkkkkkkkk tenho dó desse povo que ficou se iludindo desde março do ano passado quando lula foi descondenado. as pesquisas até agora não foram nada além de uma ilusão, a realidade vai começar a se impor nas próximas semanas. lula não tem nem de longe a força que tinha em 2006.",Neutro
2022-08-03 11:23:02+00:00,1554789936150233089,"@GruCelular @moro_deboche @LulaOficial @ricardostuckert 25 Mil KKKKK

#BolsonaroNoPrimeiroTurno 🇧🇷🎶",Lula,    25 mil kkkkk#bolsonaronoprimeiroturno 🇧🇷🎶,Neutro
2022-08-03 11:23:01+00:00,1554789933671501826,"@LulaOficial Estamos lhe aguardando, Presidente!😍❤️ https://t.co/NzsTEiMFeo",Lula," estamos lhe aguardando, presidente!😍❤️ ",Neutro
2022-08-03 11:23:00+00:00,1554789929674309634,@sidinei_s_lima @Nilsonhandebol @LulaOficial Já seguir,Lula,   já seguir,Neutro
2022-08-03 11:23:00+00:00,1554789928936128512,"@folha ""ain é mentira""
Disse o playboy vagabundo.

Atiram em nossos ônibus e não fazem nada, matam e agridem diariamente nossos amigos e ainda tem gente tentando jogar pra debaixo do tapete.

Sorte q ainda temos o Lula, pq pela revolta, eu votaria em alguém com apenas sangue no olho. https://t.co/XNRYdIRo8V",Lula," ""ain é mentira""disse o playboy vagabundo.atiram em nossos ônibus e não fazem nada, matam e agridem diariamente nossos amigos e ainda tem gente tentando jogar pra debaixo do tapete.sorte q ainda temos o lula, pq pela revolta, eu votaria em alguém com apenas sangue no olho. ",Negativo
2022-08-03 11:22:58+00:00,1554789922116091911,"@fabio_pmw @brom_elisa @jairbolsonaro No Maranhao?
Zero chance.
Aqui é Lula disparado 78%.",Lula,   no maranhao?zero chance.aqui é lula disparado 78%.,Negativo
2022-08-03 11:22:58+00:00,1554789921893777408,@o_antagonista Por isso que esse verme apoia a volta do Lula.,Lula, por isso que esse verme apoia a volta do lula.,Neutro
2022-08-03 11:22:58+00:00,1554789919423340546,@Metropoles @jairbolsonaro @LulaOficial carteira de habilitação de 5 pra 10 anos kkkkkkkkkkkkkkkkk,Lula,   carteira de habilitação de 5 pra 10 anos kkkkkkkkkkkkkkkkk,Neutro
2022-08-03 11:22:55+00:00,1554789909675769856,@LulaOficial Tava manguaça quando tweetou kkkk,Lula, tava manguaça quando tweetou kkkk,Neutro
2022-08-03 11:22:55+00:00,1554789909403209730,Sres. A saber Lula ya tiene pensado en controlar las redes sociales y otras cuestiones bien de hdp. https://t.co/GE8yWPdBwx,Lula,sres. a saber lula ya tiene pensado en controlar las redes sociales y otras cuestiones bien de hdp. ,Neutro
2022-08-03 11:22:54+00:00,1554789906521759749,"@LulaOficial Não sei se o Sr. sabe mas a pandemia foi mundial! O negacionista derramou milhões de doses de vacinas no sistema público de saúde, foi não? E, não foi o governo que proibiu médicos de tomarem decisões, junto com o paciente, em relação a que medicamentos usar! Se informe melhor!",Lula," não sei se o sr. sabe mas a pandemia foi mundial! o negacionista derramou milhões de doses de vacinas no sistema público de saúde, foi não? e, não foi o governo que proibiu médicos de tomarem decisões, junto com o paciente, em relação a que medicamentos usar! se informe melhor!",Negativo
2022-08-03 11:22:52+00:00,1554789895100669954,@LetyGomes15 @fabiojequie @LulaOficial @ricardostuckert https://t.co/t5sPSGH19F,Lula,    ,Neutro
2022-08-03 11:22:51+00:00,1554789890499420161,"@ricardostuckert @LulaOficial Se não fosse o Bolsonaro 22, ela estaria sem água até agora. O PT usava a seca do nordeste pra iludir o povo.",Lula,"  se não fosse o bolsonaro 22, ela estaria sem água até agora. o pt usava a seca do nordeste pra iludir o povo.",Neutro
2022-08-03 11:22:50+00:00,1554789886737223681,@cynaramenezes Tem um vídeo do Lula por aí falando que pro Senado é Ciciliano! Não me engana!,Lula, tem um vídeo do lula por aí falando que pro senado é ciciliano! não me engana!,Neutro
2022-08-03 11:22:49+00:00,1554789881603293185,"@nilobento @VEJA @radaronline A pesquisa desse instituto a um mês atrás mostrava bolsonaro com 31, um mês depois ele tem agora 32. Nossa, ele vai Subir mais de 12 pontos até outubro e lula vai cair 12? Kkkkkkkkkkkkkkkkk. Vai ser a primeira vez em toda história da eleição se isso acontecer",Lula,"   a pesquisa desse instituto a um mês atrás mostrava bolsonaro com 31, um mês depois ele tem agora 32. nossa, ele vai subir mais de 12 pontos até outubro e lula vai cair 12? kkkkkkkkkkkkkkkkk. vai ser a primeira vez em toda história da eleição se isso acontecer",Neutro
2022-08-03 11:22:48+00:00,1554789878000484352,@LulaOficial Para os chineses você quer dizer.,Lula, para os chineses você quer dizer.,Neutro
2022-08-03 11:22:47+00:00,1554789876641538048,@LulaOficial Falou o ex presidiário que desviou mais de 200 bilhões da saúde durante sua gestão.,Lula, falou o ex presidiário que desviou mais de 200 bilhões da saúde durante sua gestão.,Neutro
2022-08-03 11:22:47+00:00,1554789876213620738,@LulaOficial @ricardostuckert Bora voltar pra Curitiba,Lula,  bora voltar pra curitiba,Neutro
2022-08-03 11:22:47+00:00,1554789874695389184,"Enquanto a diferença entre @LulaOficial e #Bolsonaro cai, a exemplo da pesquisa do DataFolha, o PT/RJ retira o apoio a candidatura de @MarceloFreixo no Rio de Janeiro, berço político do presidente. O @ptbrasil, principal força política da oposição, precisa resolver essa situação. https://t.co/NYEwZYYlFY",Lula,"enquanto a diferença entre  e  cai, a exemplo da pesquisa do datafolha, o pt/rj retira o apoio a candidatura de  no rio de janeiro, berço político do presidente. o  principal força política da oposição, precisa resolver essa situação. ",Negativo
2022-08-03 11:22:45+00:00,1554789867435053061,"@LulaOficial ""Não sabia a fonte, mas ia jogando números e eles me aplaudiam de pé "" verme mentiroso",Lula," ""não sabia a fonte, mas ia jogando números e eles me aplaudiam de pé "" verme mentiroso",Neutro
2022-08-03 11:22:45+00:00,1554789865652469765,"🤩60 DIAS🤩 
@LulaOficial 
#LulaNo1ºTurno 
Bolsonaro e militares planejam um “Reichstag brasileiro” para incendiar o país https://t.co/YNZqAFwshU",Lula,🤩60 dias🤩   bolsonaro e militares planejam um “reichstag brasileiro” para incendiar o país ,Neutro
2022-08-03 11:22:44+00:00,1554789864075403267,"tô com medo das eleições desse ano, o Brasil parece dividido entre Bolsonaro e Lula 😣",Lula,"tô com medo das eleições desse ano, o brasil parece dividido entre bolsonaro e lula 😣",Neutro
2022-08-03 11:22:44+00:00,1554789863374856192,@LulaOficial Não sei mais se estou vivendo ou só esperando esse dia chegar. 🥹,Lula, não sei mais se estou vivendo ou só esperando esse dia chegar. 🥹,Neutro
2022-08-03 11:22:43+00:00,1554789858727575552,@jairbolsonaro Obrigado PT 🎉🎊🎊🎉🎉🎉🎉🎉🎊🎊🎉🎉🎉🎊🎉 obrigado Lula 🎊🎊🎊🎊🎊 obrigado Dilma 🎉🎉🎉🎉🎉🎊🎉🎉🎉🎉🎉🎉🎉,Lula, obrigado pt 🎉🎊🎊🎉🎉🎉🎉🎉🎊🎊🎉🎉🎉🎊🎉 obrigado lula 🎊🎊🎊🎊🎊 obrigado dilma 🎉🎉🎉🎉🎉🎊🎉🎉🎉🎉🎉🎉🎉,Neutro
2022-08-03 11:22:43+00:00,1554789857758744576,@LetyGomes15 @fabiojequie @LulaOficial @ricardostuckert https://t.co/OZ1j52wH4E,Lula,    ,Neutro
2022-08-03 11:22:42+00:00,1554789855015698432,"@LulaOficial Ah! Vai chupar prego até virar tachinha!
Você é um canalha e covarde, além de corrupto e lavador de dinheiro.",Lula," ah! vai chupar prego até virar tachinha!você é um canalha e covarde, além de corrupto e lavador de dinheiro.",Neutro
2022-08-03 11:22:42+00:00,1554789853598027776,"@LulaOficial Quem comprou a vacina que tu tomou,inútil?",Lula," quem comprou a vacina que tu tomou,inútil?",Neutro
2022-08-03 11:22:42+00:00,1554789853337997312,"@LulaOficial Cinismo e hipocrisia a gente encontra no PT,  a ORCRIM!",Lula," cinismo e hipocrisia a gente encontra no pt,  a orcrim!",Negativo
2022-08-03 11:22:42+00:00,1554789852251852800,GENIAL/QUAEST: Diferença entre Lula e Bolsonaro cai para 12 pontos https://t.co/QzDPwWluiW https://t.co/N0yJbwbyZ1,Lula,genial/quaest: diferença entre lula e bolsonaro cai para 12 pontos  ,Positivo
2022-08-03 11:22:41+00:00,1554789849797992449,@LulaOficial https://t.co/a7Ho484A6r,Lula, ,Neutro
2022-08-03 11:22:41+00:00,1554789849185525768,"@samiabomfim Quem apoia bandido eh bandido, o único ex condenado eh o Lula!! Essas falácias deveriam te colocar na cadeia tbm",Lula," quem apoia bandido eh bandido, o único ex condenado eh o lula!! essas falácias deveriam te colocar na cadeia tbm",Neutro
2022-08-03 11:22:40+00:00,1554789846882861056,@MarceloFreixo @LulaOficial @geraldoalckmin @cesarmaia Vc ainda apoia Lula ? Acho q não,Lula,    vc ainda apoia lula ? acho q não,Neutro
2022-08-03 11:22:40+00:00,1554789845318377474,@LulaOficial Faça chuva ou faça sol vai querer roubar o povo igual roubou por oito anos. Que Deus nos livre dessa maldição. Tomara que o @LRobertoBarroso esteja certo que as urnas sejam invioláveis não sei como posso acreditar nisso se um hacker esteve seis meses fuçando lá q Deus nos ajude,Lula, faça chuva ou faça sol vai querer roubar o povo igual roubou por oito anos. que deus nos livre dessa maldição. tomara que o  esteja certo que as urnas sejam invioláveis não sei como posso acreditar nisso se um hacker esteve seis meses fuçando lá q deus nos ajude,Neutro
2022-08-03 11:22:39+00:00,1554789843607109632,@gleisi @LulaOficial Lindo!,Lula,  lindo!,Neutro
